RESIDENCE,WORKPLACE,JOBS
17019001100,17019001203,2
17019001100,17019001204,2
17019001100,17019001301,10
17019001100,17019005300,21
17019001100,17019005401,4
17019001100,17019005402,2
17019001100,17019005500,6
17019001100,17019011000,12
17019001100,17093890500,2
17019001201,17019000402,210
17019001201,17019000500,124
17019001201,17019000700,15
17019001201,17019000800,24
17019001201,17019000901,37
17019001201,17019000902,17
17019001201,17019001000,34
17019001201,17019001201,23
17019001201,17019001203,12
17019001201,17019001204,5
17019001201,17019001206,8
17019001201,17019001301,41
17019001201,17019005300,107
17019001201,17019005401,16
17019001201,17019005500,51
17019001201,17019005701,2
17019001201,17019005702,6
17019001201,17019005800,2
17019001201,17019010204,4
17019001201,17019010400,2
17019001201,17019010604,2
17019001201,17019010900,4
17019001201,17019011000,25
17019001201,17019011100,2
17019001201,17031243300,2
17019001201,17031280100,2
17019001201,17053961800,2
17019001201,17113001200,2
17019001201,17183010300,2
17019001203,17019000302,2
17019001203,17019000402,305
17019001203,17019000500,108
17019001203,17019000800,13
17019001203,17019000901,2
17019001203,17019000902,28
17019001203,17019001000,4
17019001203,17019001203,8
17019001203,17019001204,8
17019001203,17019001206,3
17019001203,17019001301,4
17019001203,17019001302,5
17019001203,17019001400,5
17019001203,17019005300,112
17019001203,17019005401,4
17019001203,17019005500,13
17019001203,17019005702,2
17019001203,17019010604,2
17019001203,17019011000,12
17019001203,17031243300,2
17019001203,17113001800,2
17019001204,17019000402,359
17019001204,17019000500,38
17019001204,17019000800,8
17019001204,17019000901,8
17019001204,17019000902,13
17019001204,17019001000,2
17019001204,17019001201,2
17019001204,17019001204,4
17019001204,17019001206,7
17019001204,17019001301,19
17019001204,17019001302,2
17019001204,17019001400,2
17019001204,17019005300,97
17019001204,17019005500,2
17019001204,17019011000,12
17019001204,17029000500,2
17019001204,17115002000,2
17019001205,17019000301,2
17019001205,17019000401,2
17019001205,17019000402,572
17019001205,17019000500,91
17019001205,17019000700,2
17019001205,17019000800,10
17019001205,17019000901,8
17019001205,17019000902,47
17019001205,17019001201,2
17019001205,17019001203,2
17019001205,17019001204,6
17019001205,17019001206,11
17019001205,17019001301,48
17019001205,17019001302,9
17019001205,17019001400,11
17019001205,17019005300,252
17019001205,17019005401,2
17019001205,17019005402,2
17019001205,17019005500,11
17019001205,17019005702,2
17019001205,17019005800,3
17019001205,17019010204,2
17019001205,17019010601,4
17019001205,17019010603,2
17019001205,17019011000,24
17019001205,17019011100,3
17019001205,17031243300,2
17019001205,17043846003,2
17019001205,17143003000,2
17019001206,17019000301,2
17019001206,17019000401,2
17019001206,17019000402,129
17019001206,17019000500,29
17019001206,17019000901,2
17019001206,17019000902,18
17019001206,17019001203,2
17019001206,17019001206,5
17019001206,17019001301,8
17019001206,17019005300,56
17019001206,17019005401,2
17019001206,17019005402,3
17019001206,17019005900,2
17019001206,17019011000,10
17019001206,17029000400,2
17019001206,17029001000,2
17019001206,17113000200,2
17019001206,17113001302,2
17019001301,17001000400,2
17019001301,17019000301,2
17019001301,17019000302,2
17019001301,17019000401,2
17019001301,17019000402,470
17019001301,17019000500,107
17019001301,17019000700,6
17019001301,17019000800,8
17019001301,17019000901,9
17019001301,17019000902,44
17019001301,17019001000,2
17019001301,17019001100,5
17019001301,17019001201,3
17019001301,17019001204,2
17019001301,17019001206,8
17019001301,17019001301,86
17019001301,17019001302,8
17019001301,17019001400,8
17019001301,17019005300,119
17019001301,17019005500,13
17019001301,17019005702,4
17019001301,17019005800,7
17019001301,17019010603,2
17019001301,17019011000,25
17019001301,17019011100,2
17019001301,17167001400,2
17019001302,17019000402,435
17019001302,17019000500,48
17019001302,17019000800,8
17019001302,17019000901,2
17019001302,17019000902,19
